trade #,timestamp,buy/sell,fPrice,position,remaining capital,PnL
,2025-03-28 12:47:02,Buy,557.12,7,6067.87,
,2025-03-28 13:06:04,Buy,555.96,8,5511.91,
,2025-03-28 13:40:06,Buy,555.75,9,4956.16,
,2025-03-28 14:35:05,Buy,555.995,10,4400.16,
,2025-03-28 14:48:03,Buy,555.372,11,3844.79,
,2025-03-28 15:36:03,Buy,555.36,12,3289.43,
,2025-03-28 15:52:04,Buy,555.73,13,2733.7,
,2025-03-31 09:38:48,Buy,549.0899,14,2184.61,
33,2025-03-31 09:57:50,Sell,550.09,0,9885.87,-92.33
,2025-04-01 09:42:51,Buy,556.475,1,9329.4,
,2025-04-01 10:08:49,Buy,555.21,2,8774.19,
34,2025-04-01 10:46:48,Sell,558.03,0,9890.25,4.38
,2025-04-03 10:48:33,Buy,541.16,1,9349.09,
35,2025-04-03 12:30:33,Sell,545.19,0,9894.28,4.03
,2025-04-03 14:08:34,Buy,541.33,1,9352.95,
,2025-04-03 15:35:34,Buy,538.27,2,8814.68,
,2025-04-04 09:39:49,Buy,521.67,3,8293.01,
,2025-04-04 10:16:46,Buy,518.11,4,7774.9,
,2025-04-04 12:17:47,Buy,513.54,5,7261.36,
,2025-04-04 12:35:47,Buy,512.11,6,6749.25,
,2025-04-04 14:10:47,Buy,512.51,7,6236.74,
,2025-04-04 14:32:49,Buy,508.21,8,5728.53,
,2025-04-04 15:53:48,Buy,506.6,9,5221.93,
36,2025-04-07 09:53:44,Sell,491.69,0,9647.14,-247.14
,2025-04-08 09:41:48,Buy,518.65,1,9128.49,
37,2025-04-08 09:58:46,Sell,523.0799,0,9651.57,4.43
,2025-04-08 12:16:47,Buy,514.56,1,9137.01,
,2025-04-08 12:23:50,Buy,512.23,2,8624.78,
,2025-04-08 13:12:48,Buy,504.32,3,8120.46,
,2025-04-08 14:13:48,Buy,503.14,4,7617.32,
,2025-04-08 15:08:49,Buy,498.61,5,7118.71,
,2025-04-08 15:48:48,Buy,490.15,6,6628.56,
38,2025-04-09 09:56:47,Sell,501.24,0,9636.0,-15.57
,2025-04-09 10:52:48,Buy,493.83,1,9142.17,
,2025-04-09 11:44:48,Buy,495.275,2,8646.89,
39,2025-04-09 12:51:47,Sell,500.87,0,9648.63,12.63
,2025-04-10 09:39:04,Buy,531.33,1,9117.3,
,2025-04-10 11:17:06,Buy,525.62,2,8591.68,
,2025-04-10 12:02:04,Buy,518.01,3,8073.67,
,2025-04-10 13:15:07,Buy,514.57,4,7559.1,
40,2025-04-11 09:49:41,Sell,527.19,0,9667.86,19.23
,2025-04-11 10:24:42,Buy,522.0,1,9145.86,
41,2025-04-11 12:41:38,Sell,530.79,0,9676.65,8.79
,2025-04-14 11:28:46,Buy,538.78,1,9137.87,
42,2025-04-14 15:13:46,Sell,542.485,0,9680.36,3.71
,2025-04-15 12:55:50,Buy,538.8588,1,9141.5,
43,2025-04-16 11:29:49,Sell,534.64,0,9676.14,-4.22
,2025-04-16 12:40:46,Buy,530.5401,1,9145.6,
,2025-04-16 12:59:48,Buy,530.89,2,8614.71,
,2025-04-16 13:32:46,Buy,529.25,3,8085.46,
,2025-04-16 14:39:48,Buy,524.1356,4,7561.32,
,2025-04-16 15:24:49,Buy,520.7327,5,7040.59,
44,2025-04-17 09:56:47,Sell,528.43,0,9682.74,6.6
,2025-04-17 10:31:46,Buy,524.98,1,9157.76,
,2025-04-21 09:45:04,Buy,519.36,2,8638.4,
,2025-04-21 10:01:01,Buy,516.88,3,8121.52,
,2025-04-21 10:22:02,Buy,515.3,4,7606.22,
,2025-04-21 10:52:02,Buy,514.71,5,7091.51,
,2025-04-21 11:08:01,Buy,514.17,6,6577.34,
,2025-04-21 11:26:04,Buy,513.36,7,6063.98,
,2025-04-21 11:33:01,Buy,512.475,8,5551.5,
,2025-04-21 11:54:00,Buy,511.16,9,5040.34,
,2025-04-21 13:06:02,Buy,510.16,10,4530.18,
,2025-04-21 13:21:01,Buy,510.42,11,4019.76,
,2025-04-21 14:05:04,Buy,508.68,12,3511.08,
45,2025-04-22 10:09:52,Sell,523.0,0,9787.08,104.34
,2025-04-23 10:05:01,Buy,542.87,1,9244.21,
,2025-04-23 11:20:01,Buy,540.99,2,8703.22,
,2025-04-23 11:51:01,Buy,536.38,3,8166.84,
,2025-04-23 12:17:01,Buy,535.66,4,7631.18,
,2025-04-23 15:22:02,Buy,534.63,5,7096.55,
46,2025-04-24 09:50:01,Sell,538.27,0,9787.9,0.82
,2025-04-28 11:10:53,Buy,549.13,1,9238.77,
,2025-04-28 11:23:53,Buy,548.2412,2,8690.53,
,2025-04-28 12:38:54,Buy,546.47,3,8144.06,
,2025-04-29 09:37:30,Buy,549.38,4,7594.68,
47,2025-04-29 09:43:29,Sell,550.15,0,9795.28,7.38
,2025-04-30 09:51:24,Buy,543.29,1,9251.99,
48,2025-04-30 11:08:22,Sell,548.2401,0,9800.23,4.95
,2025-05-01 09:39:50,Buy,559.6125,1,9240.62,
49,2025-05-01 10:36:48,Sell,562.21,0,9802.83,2.6
,2025-05-01 11:57:49,Buy,560.0925,1,9242.74,
,2025-05-01 12:24:50,Buy,559.445,2,8683.29,
,2025-05-01 13:42:49,Buy,560.26,3,8123.03,
,2025-05-01 15:58:47,Buy,558.52,4,7564.51,
,2025-05-02 09:48:06,Buy,563.83,5,7000.68,
50,2025-05-02 10:31:06,Sell,565.52,0,9828.28,25.45
,2025-05-05 09:40:07,Buy,562.125,1,9266.16,
51,2025-05-05 10:43:47,Sell,564.36,0,9830.52,2.24
,2025-05-06 09:50:38,Buy,557.63,1,9272.89,
52,2025-05-06 10:19:44,Sell,559.93,0,9832.82,2.3
,2025-05-07 10:55:08,Buy,559.19,1,9273.63,
53,2025-05-07 13:15:08,Sell,561.5749,0,9835.2,2.38
,2025-05-08 09:37:47,Buy,565.05,1,9270.15,
54,2025-05-08 09:42:47,Sell,564.58,0,9834.73,-0.47
,2025-05-08 10:54:52,Buy,562.74,1,9271.99,
55,2025-05-08 11:25:49,Sell,566.25,0,9838.24,3.51
,2025-05-09 10:20:49,Buy,565.61,1,9272.63,
,2025-05-09 10:42:49,Buy,563.92,2,8708.71,
,2025-05-09 11:21:50,Buy,564.43,3,8144.28,
,2025-05-09 12:49:53,Buy,563.35,4,7580.93,
,2025-05-09 13:07:49,Buy,563.3912,5,7017.54,
,2025-05-12 09:48:49,Buy,578.73,6,6438.81,
,2025-05-12 10:29:56,Buy,578.26,7,5860.55,
56,2025-05-12 12:39:55,Sell,579.74,0,9918.73,80.49
,2025-05-14 09:39:53,Buy,588.3,1,9330.43,
,2025-05-14 09:49:52,Buy,586.97,2,8743.46,
,2025-05-14 10:06:46,Buy,587.465,3,8156.0,
,2025-05-14 11:06:46,Buy,585.9999,4,7570.0,
57,2025-05-14 12:07:51,Sell,588.1699,0,9922.68,3.94
,2025-05-14 13:23:47,Buy,585.865,1,9336.81,
58,2025-05-15 09:45:47,Sell,586.02,0,9922.83,0.15
,2025-05-15 09:50:49,Buy,585.28,1,9337.55,
59,2025-05-15 10:02:48,Sell,586.67,0,9924.22,1.39
,2025-05-16 09:41:48,Buy,590.18,1,9334.04,
,2025-05-16 10:34:54,Buy,590.513,2,8743.53,
60,2025-05-16 11:29:54,Sell,590.9,0,9925.33,1.11
,2025-05-20 09:37:45,Buy,593.09,1,9332.24,
,2025-05-20 09:59:49,Buy,592.84,2,8739.4,
61,2025-05-20 10:35:46,Sell,593.143,0,9925.68,0.36
,2025-05-20 12:17:47,Buy,592.5899,1,9333.09,
62,2025-05-20 12:59:56,Sell,593.38,0,9926.47,0.79
,2025-05-20 14:21:47,Buy,591.58,1,9334.89,
,2025-05-20 14:29:49,Buy,590.81,2,8744.08,
,2025-05-20 14:56:47,Buy,591.0,3,8153.08,
63,2025-05-21 09:53:47,Sell,590.12,0,9923.44,-3.03
,2025-05-21 13:18:48,Buy,587.89,1,9335.55,
,2025-05-22 10:56:46,Buy,581.82,2,8753.73,
64,2025-05-22 13:50:47,Sell,585.08,0,9923.89,0.45
,2025-05-28 09:37:47,Buy,592.07,1,9331.82,
,2025-05-28 09:55:48,Buy,591.06,2,8740.76,
,2025-05-28 10:30:52,Buy,590.0899,3,8150.67,
,2025-05-28 11:13:47,Buy,589.58,4,7561.09,
,2025-05-28 11:36:47,Buy,589.11,5,6971.98,
,2025-05-28 11:58:47,Buy,589.145,6,6382.84,
,2025-05-28 12:24:52,Buy,589.6691,7,5793.17,
,2025-05-28 14:52:48,Buy,589.12,8,5204.05,
,2025-05-29 10:12:47,Buy,589.0,9,4615.05,
,2025-05-29 11:33:49,Buy,589.24,10,4025.81,
,2025-05-29 14:20:48,Buy,587.979,11,3437.83,
,2025-05-30 09:41:59,Buy,587.85,12,2849.98,
65,2025-05-30 10:06:02,Sell,588.53,0,9912.34,-11.55
,2025-05-30 12:24:00,Buy,586.86,1,9325.48,
,2025-05-30 12:54:00,Buy,583.85,2,8741.63,
66,2025-05-30 15:04:01,Sell,589.391,0,9920.41,8.07
,2025-06-02 09:51:50,Buy,587.463,1,9332.95,
67,2025-06-02 10:59:56,Sell,589.33,0,9922.28,1.87
,2025-06-03 09:40:55,Buy,592.48,1,9329.8,
68,2025-06-03 09:55:00,Sell,592.49,0,9922.29,0.01
,2025-06-04 09:42:50,Buy,597.78,1,9324.51,
,2025-06-04 09:50:50,Buy,597.7,2,8726.81,
,2025-06-04 09:52:55,Buy,597.63,3,8129.18,
69,2025-06-04 11:04:54,Sell,597.53,0,9921.77,-0.52
,2025-06-04 12:38:49,Buy,596.15,1,9325.62,
70,2025-06-04 12:40:51,Sell,596.39,0,9922.01,0.24
,2025-06-04 15:52:52,Buy,596.36,1,9325.65,
71,2025-06-05 11:02:17,Sell,597.5236,0,9923.17,1.16
,2025-06-05 12:54:17,Buy,595.26,1,9327.91,
,2025-06-05 14:04:19,Buy,595.18,2,8732.73,
,2025-06-05 14:18:17,Buy,594.0,3,8138.73,
,2025-06-05 15:14:18,Buy,593.8,4,7544.93,
,2025-06-05 15:18:18,Buy,591.74,5,6953.19,
72,2025-06-06 09:42:49,Sell,600.265,0,9954.52,31.35
,2025-06-06 10:32:48,Buy,599.059,1,9355.46,
73,2025-06-06 11:08:49,Sell,600.15,0,9955.61,1.09
,2025-06-06 11:20:51,Buy,597.76,1,9357.85,
,2025-06-06 11:42:49,Buy,598.37,2,8759.48,
,2025-06-06 12:45:49,Buy,597.775,3,8161.7,
,2025-06-06 13:13:51,Buy,597.605,4,7564.1,
74,2025-06-06 14:35:50,Sell,600.26,0,9965.14,9.53
,2025-06-10 10:08:49,Buy,600.7,1,9364.44,
75,2025-06-10 10:10:49,Sell,600.9421,0,9965.38,0.24
,2025-06-10 11:32:49,Buy,600.11,1,9365.27,
,2025-06-10 11:34:55,Buy,600.04,2,8765.23,
76,2025-06-10 12:24:55,Sell,601.75,0,9968.73,3.35
,2025-06-10 14:02:50,Buy,600.91,1,9367.82,
77,2025-06-10 14:58:49,Sell,602.6,0,9970.42,1.69
,2025-06-11 09:49:55,Buy,603.08,1,9367.34,
78,2025-06-11 10:51:50,Sell,604.801,0,9972.14,1.72
,2025-06-11 15:33:50,Buy,600.03,1,9372.11,
79,2025-06-12 09:46:18,Sell,600.55,0,9972.66,0.52
,2025-06-13 09:56:52,Buy,598.49,1,9374.17,
,2025-06-13 10:12:50,Buy,597.65,2,8776.52,
80,2025-06-13 11:22:52,Sell,600.57,0,9977.66,5.0
,2025-06-13 14:44:54,Buy,596.18,1,9381.48,
,2025-06-16 09:42:33,Buy,601.435,2,8780.05,
81,2025-06-16 09:48:34,Sell,601.53,0,9983.11,5.45
,2025-06-16 15:11:34,Buy,601.86,1,9381.25,
82,2025-06-17 10:08:31,Sell,600.935,0,9982.18,-0.93
,2025-06-17 13:28:33,Buy,599.08,1,9383.1,
,2025-06-17 14:48:32,Buy,597.37,2,8785.73,
,2025-06-17 15:42:32,Buy,597.67,3,8188.06,
,2025-06-18 09:40:52,Buy,598.03,4,7590.03,
83,2025-06-18 10:34:55,Sell,601.12,0,9994.51,12.33
,2025-06-18 12:36:51,Buy,599.59,1,9394.92,
84,2025-06-20 09:44:52,Sell,599.3393,0,9994.26,-0.25
,2025-06-20 10:26:48,Buy,595.59,1,9398.67,
,2025-06-20 10:42:49,Buy,595.02,2,8803.65,
,2025-06-20 11:02:49,Buy,593.83,3,8209.82,
,2025-06-20 13:26:49,Buy,594.2804,4,7615.54,
,2025-06-20 14:57:49,Buy,593.61,5,7021.93,
85,2025-06-23 09:40:59,Sell,595.47,0,9999.28,5.02
,2025-06-24 09:54:56,Buy,604.499,1,9394.78,
86,2025-06-24 10:58:51,Sell,605.165,0,9999.95,0.67
,2025-06-25 09:42:41,Buy,608.4,1,9391.55,
,2025-06-25 09:52:41,Buy,607.77,2,8783.78,
87,2025-06-25 09:54:50,Sell,607.78,0,9999.34,-0.61
,2025-06-25 10:38:45,Buy,607.729,1,9391.61,
,2025-06-25 11:20:42,Buy,606.9,2,8784.71,
,2025-06-25 12:00:42,Buy,607.02,3,8177.69,
,2025-06-25 12:36:42,Buy,606.81,4,7570.88,
,2025-06-25 12:50:41,Buy,606.6699,5,6964.21,
,2025-06-25 13:42:41,Buy,606.12,6,6358.09,
,2025-06-25 14:27:41,Buy,606.33,7,5751.76,
,2025-06-25 14:31:43,Buy,606.15,8,5145.61,
,2025-06-26 09:48:48,Buy,608.875,9,4536.73,
88,2025-06-26 10:06:49,Sell,609.2107,0,10019.63,20.29
,2025-06-27 13:46:52,Buy,614.01,1,9405.62,
,2025-06-27 14:31:52,Buy,612.04,2,8793.58,
,2025-06-30 09:40:54,Buy,616.6951,3,8176.89,
,2025-06-30 10:20:53,Buy,616.2793,4,7560.61,
89,2025-06-30 10:36:54,Sell,616.25,0,10025.61,5.98
,2025-06-30 10:50:53,Buy,615.995,1,9409.61,
,2025-06-30 11:24:57,Buy,616.1,2,8793.51,
90,2025-06-30 12:36:54,Sell,616.695,0,10026.9,1.3
,2025-06-30 13:32:56,Buy,616.205,1,9410.7,
,2025-06-30 13:48:56,Buy,616.0787,2,8794.62,
,2025-06-30 13:58:53,Buy,615.78,3,8178.84,
,2025-06-30 14:32:54,Buy,615.67,4,7563.17,
,2025-06-30 14:52:30,Buy,616.26,5,6946.91,
91,2025-06-30 15:07:55,Sell,617.15,0,10032.66,5.76
,2025-07-01 10:38:50,Buy,616.845,1,9415.81,
92,2025-07-01 12:16:49,Sell,617.97,0,10033.78,1.12
,2025-07-02 09:42:50,Buy,617.27,1,9416.51,
93,2025-07-02 10:26:49,Sell,618.36,0,10034.87,1.09
,2025-07-07 09:46:51,Buy,623.145,1,9411.73,
,2025-07-07 10:38:51,Buy,622.6699,2,8789.06,
,2025-07-07 10:54:56,Buy,622.28,3,8166.78,
,2025-07-07 11:14:58,Buy,621.935,4,7544.84,
,2025-07-07 12:56:50,Buy,619.79,5,6925.05,
,2025-07-07 13:42:53,Buy,619.925,6,6305.13,
,2025-07-07 14:16:52,Buy,619.59,7,5685.54,
,2025-07-07 14:20:51,Buy,618.14,8,5067.4,
,2025-07-08 09:58:50,Buy,621.06,9,4446.34,
,2025-07-08 10:00:49,Buy,620.83,10,3825.51,
,2025-07-08 11:24:54,Buy,619.94,11,3205.57,
94,2025-07-08 12:16:50,Sell,620.82,0,10034.59,-0.28
,2025-07-09 10:30:39,Buy,622.88,1,9411.71,
,2025-07-09 10:52:35,Buy,621.44,2,8790.27,
95,2025-07-09 15:55:34,Sell,624.135,0,10038.54,3.95
,2025-07-10 09:43:07,Buy,623.74,1,9414.8,
96,2025-07-10 09:57:08,Sell,623.615,0,10038.41,-0.12
,2025-07-14 09:44:41,Buy,621.94,1,9416.47,
97,2025-07-14 11:02:38,Sell,623.63,0,10040.1,1.69
,2025-07-15 09:52:50,Buy,626.36,1,9413.74,
,2025-07-15 10:36:50,Buy,625.19,2,8788.55,
,2025-07-15 12:34:56,Buy,624.23,3,8164.32,
,2025-07-15 12:58:52,Buy,623.25,4,7541.07,
,2025-07-15 14:54:57,Buy,623.98,5,6917.09,
,2025-07-15 15:42:50,Buy,623.76,6,6293.33,
,2025-07-15 15:52:52,Buy,623.155,7,5670.18,
,2025-07-15 15:58:52,Buy,622.65,8,5047.53,
,2025-07-16 09:40:16,Buy,623.24,9,4424.29,
,2025-07-16 10:55:18,Buy,622.275,10,3802.01,
,2025-07-16 11:19:11,Buy,620.24,11,3181.77,
98,2025-07-16 13:10:16,Sell,623.48,0,10040.05,-0.05
,2025-07-18 09:53:04,Buy,628.75,1,9411.3,
99,2025-07-18 10:01:05,Sell,628.9649,0,10040.27,0.21
,2025-07-18 10:41:04,Buy,627.32,1,9412.95,
,2025-07-18 11:02:08,Buy,627.16,2,8785.79,
,2025-07-18 12:23:05,Buy,627.33,3,8158.46,
,2025-07-18 12:59:10,Buy,626.68,4,7531.78,
,2025-07-18 13:29:12,Buy,626.94,5,6904.84,
,2025-07-18 14:11:05,Buy,627.0,6,6277.84,
,2025-07-18 15:07:05,Buy,627.095,7,5650.74,
,2025-07-18 15:45:06,Buy,627.0653,8,5023.68,
100,2025-07-21 10:12:52,Sell,630.68,0,10069.12,28.85
,2025-07-21 15:15:51,Buy,629.69,1,9439.43,
,2025-07-21 15:45:53,Buy,628.735,2,8810.69,
,2025-07-22 09:42:54,Buy,629.015,3,8181.68,
,2025-07-22 09:50:54,Buy,627.99,4,7553.69,
,2025-07-22 09:55:00,Buy,627.14,5,6926.55,
101,2025-07-22 13:21:06,Sell,628.49,0,10069.0,-0.12
,2025-07-23 09:46:48,Buy,630.2299,1,9438.77,
